"filename", "language", "Julia", "comment", "blank", "total"
"c:\Users\mgs255\.julia\dev\Beamlines\src\Beamlines.jl", "Julia", 69, 12, 13, 94
"c:\Users\mgs255\.julia\dev\Beamlines\src\alignment.jl", "Julia", 31, 1, 4, 36
"c:\Users\mgs255\.julia\dev\Beamlines\src\aperture.jl", "Julia", 40, 1, 8, 49
"c:\Users\mgs255\.julia\dev\Beamlines\src\beamline.jl", "Julia", 290, 48, 27, 365
"c:\Users\mgs255\.julia\dev\Beamlines\src\bend.jl", "Julia", 20, 4, 6, 30
"c:\Users\mgs255\.julia\dev\Beamlines\src\bits\bitselement.jl", "Julia", 240, 1, 22, 263
"c:\Users\mgs255\.julia\dev\Beamlines\src\bits\bitsline.jl", "Julia", 505, 77, 74, 656
"c:\Users\mgs255\.julia\dev\Beamlines\src\bits\bitsparams.jl", "Julia", 197, 14, 46, 257
"c:\Users\mgs255\.julia\dev\Beamlines\src\bits\bitstracking.jl", "Julia", 39, 13, 9, 61
"c:\Users\mgs255\.julia\dev\Beamlines\src\control.jl", "Julia", 44, 4, 7, 55
"c:\Users\mgs255\.julia\dev\Beamlines\src\defexpr.jl", "Julia", 49, 6, 16, 71
"c:\Users\mgs255\.julia\dev\Beamlines\src\element.jl", "Julia", 208, 29, 30, 267
"c:\Users\mgs255\.julia\dev\Beamlines\src\keymaps.jl", "Julia", 80, 4, 14, 98
"c:\Users\mgs255\.julia\dev\Beamlines\src\lattice.jl", "Julia", 23, 21, 14, 58
"c:\Users\mgs255\.julia\dev\Beamlines\src\macros.jl", "Julia", 27, 0, 3, 30
"c:\Users\mgs255\.julia\dev\Beamlines\src\multipole.jl", "Julia", 355, 20, 30, 405
"c:\Users\mgs255\.julia\dev\Beamlines\src\patch.jl", "Julia", 34, 5, 5, 44
"c:\Users\mgs255\.julia\dev\Beamlines\src\rf.jl", "Julia", 64, 3, 10, 77
"c:\Users\mgs255\.julia\dev\Beamlines\src\virtual.jl", "Julia", 414, 37, 50, 501
"Total", "-", 2729, 300, 388, 3417